candidate_id,rank,score,reasoning
CAND_0072688,1,1.0,"Data Scientist with 6.9 years of experience at Niramai, specializing in vector search and RAG (Milvus); strong semantic alignment to the JD (esp. experience trajectory); features very high recruiter responsiveness; high recruiter demand, reliable follow-through. Minor data-quality flag (synthetic)."
CAND_0050454,2,0.9992079082098829,"AI Engineer with 6.8 years of experience at Rephrase.ai, specializing in vector search and RAG (FAISS); strong semantic alignment to the JD (esp. experience trajectory); features good recruiter responsiveness; high recruiter demand. Minor data-quality flag (synthetic)."
CAND_0073007,3,0.9986524549127356,"AI Specialist with 5.8 years of experience at Aganitha, specializing in vector search and RAG (Milvus, FAISS); strong semantic alignment to the JD (esp. experience trajectory); features active GitHub presence and very high recruiter responsiveness; high recruiter demand, reliable follow-through."
CAND_0033445,4,0.9947838770688302,"ML Engineer with 6.8 years of experience at Vedantu, specializing in vector search and RAG (pgvector); strong semantic alignment to the JD (esp. experience trajectory); features very high recruiter responsiveness; high recruiter demand, reliable follow-through. Minor data-quality flag (synthetic)."
CAND_0065878,5,0.9921250262557821,"Senior Data Scientist with 7.8 years of experience at Niramai, specializing in vector search and RAG (RAG, pgvector). Shown solid seniority growth in past roles; strong semantic alignment to the JD (esp. experience trajectory); high recruiter demand, reliable follow-through. Minor data-quality flag."
CAND_0001707,6,0.991877056796177,"Data Scientist with 5.6 years of experience at Vedantu, specializing in vector search and RAG (FAISS); strong semantic alignment to the JD (esp. experience trajectory); high recruiter demand, reliable follow-through. Minor data-quality flag (synthetic)."
CAND_0087783,7,0.9902881712815731,"Senior Software Engineer (ML) with 6.7 years of experience at Meesho, specializing in applied ML (MLOps); experienced in backend infrastructure (Airflow). Shown solid seniority growth in past roles; strong semantic alignment to the JD (esp. experience trajectory); features strong GitHub activity."
CAND_0010149,8,0.9892280531228856,"ML Engineer with 6.9 years of experience at Glance, specializing in vector search and RAG (Milvus, Vector Search). Shown solid seniority growth in past roles; strong semantic alignment to the JD (esp. experience trajectory); features very high recruiter responsiveness; high recruiter demand."
CAND_0002793,9,0.9878890579839392,"AI Specialist with 5.5 years of experience at Meesho, specializing in vector search and RAG (pgvector, FAISS); strong semantic alignment to the JD (esp. experience trajectory); features strong GitHub activity and good recruiter responsiveness; high recruiter demand, strong open-source footprint."
CAND_0062247,10,0.9873190087884687,"AI Engineer with 7.3 years of experience at Google, specializing in vector search and RAG (Pinecone, Vector Search); strong semantic alignment to the JD (esp. experience trajectory); features active GitHub presence and good recruiter responsiveness; high recruiter demand, strong open-source."
CAND_0010408,11,0.9783487496137301,"Junior ML Engineer with 5.7 years of experience at Meesho, specializing in vector search and RAG (Milvus); strong semantic alignment to the JD (esp. experience trajectory); features strong GitHub activity; high recruiter demand, strong open-source footprint."
CAND_0046621,12,0.9726625586406012,"AI Research Engineer with 6.6 years of experience at upGrad, specializing in vector search and RAG (Pinecone, pgvector); strong semantic alignment to the JD (esp. experience trajectory); high recruiter demand."
CAND_0024878,13,0.9700246900598899,"AI Specialist with 5.7 years of experience at HCL, specializing in vector search and RAG (pgvector); strong semantic alignment to the JD (esp. experience trajectory); features very high recruiter responsiveness; high recruiter demand, reliable follow-through."
CAND_0072547,14,0.9672882432893747,"Senior Software Engineer (ML) with 5.1 years of experience at Vedantu, specializing in vector search and RAG (pgvector). Shown solid seniority growth in past roles; strong semantic alignment to the JD (esp. experience trajectory); features active GitHub presence and very high recruiter."
CAND_0076251,15,0.9642802400078182,Search Engineer with 7.6 years of experience at Haptik; experienced in backend infrastructure (Kafka). Shown solid seniority growth in past roles; strong semantic alignment to the JD (esp. experience trajectory); features good recruiter responsiveness; high recruiter demand. Minor data-quality flag.
CAND_0018653,16,0.9632601824410365,"ML Engineer with 6.5 years of experience at Vedantu, specializing in vector search and RAG (RAG, Vector Search); strong semantic alignment to the JD (esp. experience trajectory); features good recruiter responsiveness; high recruiter demand. Note: candidate has not actively seeking new roles. Minor."
CAND_0011759,17,0.9607982566043153,"Senior Software Engineer with 6.7 years of experience at Paytm, specializing in vector search and RAG (Pinecone). Shown solid seniority growth in past roles; strong semantic alignment to the JD (esp. experience trajectory); features strong GitHub activity and good recruiter responsiveness; high."
CAND_0093883,18,0.9527493454037159,"AI Research Engineer with 5.0 years of experience at Wysa, specializing in vector search and RAG (Milvus). Shown solid seniority growth in past roles; strong semantic alignment to the JD (esp. experience trajectory); features good recruiter responsiveness; high recruiter demand. Minor data-quality."
CAND_0098952,19,0.9439096184760907,"AI Research Engineer with 5.5 years of experience at CRED, specializing in applied ML (NLP, Python); experienced in backend infrastructure (Airflow). Shown solid seniority growth in past roles; strong semantic alignment to the JD (esp. experience trajectory); features active GitHub presence and."
CAND_0032089,20,0.9414669736410266,"ML Engineer with 6.6 years of experience at Saarthi.ai, specializing in vector search and RAG (Pinecone, Milvus); strong semantic alignment to the JD (esp. experience trajectory); features good recruiter responsiveness; high recruiter demand, reliable follow-through."
CAND_0001131,21,0.9347138456959048,"ML Engineer with 5.8 years of experience at Wysa, specializing in vector search and RAG (Vector Search, RAG); strong semantic alignment to the JD (esp. experience trajectory); features active GitHub presence and good recruiter responsiveness; high recruiter demand."
CAND_0069771,22,0.927031981612792,"Junior ML Engineer with 5.7 years of experience at Sarvam AI, specializing in vector search and RAG (FAISS, Vector Search); strong semantic alignment to the JD (esp. experience trajectory); high recruiter demand. Minor data-quality flag (synthetic)."
CAND_0091580,23,0.9232992020390909,"Data Scientist with 5.5 years of experience at Niramai, specializing in vector search and RAG (FAISS); strong semantic alignment to the JD (esp. experience trajectory); features strong GitHub activity; high recruiter demand, strong open-source footprint."
CAND_0072218,24,0.9200971562995042,"Senior Software Engineer (ML) with 6.8 years of experience at HCL, specializing in vector search and RAG (FAISS). Shown solid seniority growth in past roles; strong semantic alignment to the JD (esp. experience trajectory); high recruiter demand. Minor data-quality flag (synthetic)."
CAND_0021406,25,0.9018313331586562,"Software Engineer with 7.3 years of experience at Wayne Enterprises, specializing in vector search and RAG (FAISS); experienced in backend infrastructure (Airflow). Shown solid seniority growth in past roles; moderate semantic fit to the JD; features good recruiter responsiveness; high recruiter."
CAND_0018094,26,0.9005214414834705,"ML Engineer with 5.2 years of experience at Mad Street Den, specializing in vector search and RAG (Pinecone); experienced in backend infrastructure (Kafka); strong semantic alignment to the JD (esp. experience trajectory); features good recruiter responsiveness; high recruiter demand, reliable."
CAND_0061244,27,0.894996315643631,"Computer Vision Engineer with 6.2 years of experience at CRED; experienced in backend infrastructure (Kafka, PostgreSQL); strong semantic alignment to the JD (esp. experience trajectory); features strong GitHub activity; high recruiter demand, strong open-source footprint."
CAND_0004555,28,0.8854862034051868,"Senior Software Engineer (ML) with 5.0 years of experience at Dream11, specializing in applied ML (TensorFlow, PyTorch). Shown solid seniority growth in past roles; strong semantic alignment to the JD (esp. experience trajectory); features good recruiter responsiveness; high recruiter demand. Minor."
CAND_0027789,29,0.8808387363442285,"Data Analyst with 6.4 years of experience at Nykaa, specializing in vector search and RAG (pgvector); strong semantic alignment to the JD (esp. experience trajectory); features good recruiter responsiveness; high recruiter demand, reliable follow-through. Note: candidate has not actively seeking."
CAND_0085851,30,0.8458846761578689,"ML Engineer with 7.0 years of experience at Genpact AI, specializing in applied ML (BentoML, MLflow); strong semantic alignment to the JD (esp. experience trajectory); high recruiter demand. Minor data-quality flag (synthetic)."
CAND_0054173,31,0.8337167029967141,"Computer Vision Engineer with 5.1 years of experience at Verloop.io, specializing in vector search and RAG (RAG, Vector Search); strong semantic alignment to the JD (esp. experience trajectory); high recruiter demand. Minor data-quality flag (synthetic)."
CAND_0052827,32,0.5862403518178952,"Data Scientist with 5.9 years of experience at Genpact AI, specializing in vector search and RAG (RAG, FAISS). Shown solid seniority growth in past roles; strong semantic alignment to the JD (esp. experience trajectory); features active GitHub presence and good recruiter responsiveness; high."
CAND_0044890,33,0.5809757485482793,"AI Research Engineer with 5.0 years of experience at Haptik, specializing in vector search and RAG (FAISS); strong semantic alignment to the JD (esp. experience trajectory); features active GitHub presence and good recruiter responsiveness; high recruiter demand."
CAND_0014063,34,0.5171902631805766,"AI Specialist with 5.4 years of experience at Sarvam AI, specializing in vector search and RAG (FAISS); strong semantic alignment to the JD (esp. experience trajectory); features strong GitHub activity and good recruiter responsiveness; high recruiter demand, strong open-source footprint."
CAND_0099401,35,0.5061075199721993,"NLP Engineer with 7.7 years of experience at Dream11, specializing in applied ML (Python); strong semantic alignment to the JD (esp. experience trajectory); high recruiter demand. Note: candidate has not actively seeking new roles."
CAND_0073804,36,0.49732437425706777,"Analytics Engineer with 7.2 years of experience at Hooli, specializing in vector search and RAG (Vector Search); strong semantic alignment to the JD (esp. experience trajectory); features good recruiter responsiveness; high recruiter demand."
CAND_0015760,37,0.4824975100194205,"AI Research Engineer with 4.4 years of experience at InMobi, specializing in applied ML (Python, MLOps); experienced in backend infrastructure (Kafka); strong semantic alignment to the JD (esp. experience trajectory); features good recruiter responsiveness; high recruiter demand, reliable."
CAND_0067183,38,0.4794838446952832,"ML Engineer with 6.1 years of experience at Sarvam AI, specializing in vector search and RAG (RAG). Shown solid seniority growth in past roles; strong semantic alignment to the JD (esp. experience trajectory); high recruiter demand, reliable follow-through."
CAND_0011140,39,0.47265618838749235,"ML Engineer with 5.1 years of experience at Haptik, specializing in vector search and RAG (RAG). Shown solid seniority growth in past roles; strong semantic alignment to the JD (esp. experience trajectory); features good recruiter responsiveness; high recruiter demand. Note: candidate has a long."
CAND_0099581,40,0.46980072280797597,"AI Specialist with 6.4 years of experience at upGrad, specializing in vector search and RAG (Pinecone). Shown solid seniority growth in past roles; strong semantic alignment to the JD (esp. experience trajectory); high recruiter demand. Note: candidate has a long 120-day notice period. Minor."
CAND_0003290,41,0.4659046550446147,"Computer Vision Engineer with 5.9 years of experience at Verloop.io, specializing in vector search and RAG (Pinecone); strong semantic alignment to the JD (esp. experience trajectory); features good recruiter responsiveness; high recruiter demand. Note: candidate has a long 120-day notice period.."
CAND_0046020,42,0.4615490249601212,"ML Engineer with 3.9 years of experience at Unacademy, specializing in vector search and RAG (pgvector, Vector Search); strong semantic alignment to the JD (esp. experience trajectory); features active GitHub presence and very high recruiter responsiveness; high recruiter demand, strong open-source."
CAND_0078790,43,0.46095057085512514,"Data Scientist with 4.5 years of experience at Vedantu, specializing in vector search and RAG (pgvector, FAISS); strong semantic alignment to the JD (esp. experience trajectory); features strong GitHub activity and very high recruiter responsiveness; high recruiter demand, strong open-source."
CAND_0040521,44,0.4584161590124534,"Software Engineer with 7.9 years of experience at Meesho, specializing in vector search and RAG (pgvector); experienced in backend infrastructure (Airflow); strong semantic alignment to the JD (esp. experience trajectory); high recruiter demand."
